model_name,caseCount,totalMutantNum,mutantGenerationTime,selectRatio,selectedMutantNum,executeTime,caseNotExecuteNum,mutantNotFullyExecuteNum
44755431,10000,687,80.21772122383118,0.3,407,1958.5827181339264,1767625,179
44758894,1000,188,6.377692937850952,0.3,140,84.3677773475647,77669,101
46869312,25000,808,44.25802755355835,0.3,274,1001.329204082489,40172,242
48976413,963,200,10.939601182937622,0.3,184,132.32539176940918,0,0
53749895,1000,311,185.78951334953308,0.3,135,245.2876238822937,0,0
55198221,50,1175,141.09038972854614,0.3,459,370.1225199699402,4634,331
56774954,1000,1496,85.02307629585266,0.3,488,353.8240256309509,0,0
57326611,10000,437,18.410401821136475,0.3,157,313.60330414772034,246560,134
58051767,1000,200,11.051961898803711,0.3,184,132.9304530620575,77364,84
58844149,1000,2530,405.7334108352661,0.3,850,1366.3837840557098,407313,813
59078187,100,1125,49.97082448005676,0.3,409,218.95865964889526,0,0
60874661,10000,682,47.113314151763916,0.3,324,134.5155599117279,2950000,295
60801900,20,3417,331.8945767879486,0.3,1093,1259.4409093856812,1053,1053
61274792,250,1121,285.84054589271545,0.3,405,5750.9351596832275,43596,346
61763616,1000,231,19.92549967765808,0.3,183,219.85620427131653,49851,87
62055783,1000,699,104.12460279464722,0.3,341,1513.1511585712433,33060,228
64395424,4,1080,59.874757051467896,0.3,364,114.11169147491455,1456,364
66087653,1000,2355,184.04843592643738,0.3,747,608.5527935028076,368277,741
66602662,1000,499,33.468549489974976,0.3,275,214.0426163673401,55013,271
68101077,10000,1125,62.474416732788086,0.3,409,798.3237104415894,1181511,387
68321264,6300,632,46.363834619522095,0.3,274,768.2089076042175,512400,244
68751439,100,2099,144.48025488853455,0.3,667,421.5753583908081,34320,660
68773774,100,2600,171.15490984916687,0.3,840,338.19688415527344,84000,840
69787272,1000,296,10.658162355422974,0.3,128,79.22937369346619,60137,121
